////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////						
//	[Script]	AcheronEventData				
//	[ Text  Version ]	0.0.0.4_Test				
//	[ 최종 작업자 ]	홍승욱				
//	[ 최종 작업일 ]	2012-11-01 19:24				
//	[ 작 업 내 용 ]	아케론 수호자 아이템 드랍 개수 확률 수정				
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////						
//	<< 아케론 수호자 이벤트 관련 데이터 >>					
// 아케론 이벤트 관련 세부 데이타들을 설정하는 스크립트						
// 아케론 이벤트 실행 요일 1: ON 0: OFF 						
//월	화	수	목	금	토	일
1						
0	0	0	0	0	0	0
end						
						
// 1 . 아케론 이벤트 관련 기본 데이터 : 아케론 이벤트에 필요한 기본적인 데이터를 가지고 있다.						
//게임진행시간	채널종료시간					
2						
15	1					
end						
						
// 2 . 아케론 이벤트 스케쥴 기본 데이터(HOUR, MIN)						
//시작시간	분	초				
3						
0	30	0				
1	30	0				
2	30	0				
3	30	0				
4	30	0				
5	30	0				
6	30	0				
7	30	0				
8	30	0				
9	30	0				
10	30	0				
11	30	0				
12	30	0				
13	30	0				
14	30	0				
15	30	0				
16	30	0				
17	30	0				
18	30	0				
19	30	0				
20	30	0				
21	30	0				
22	30	0				
23	30	0				
end						
						
// 오벨리스크 정보(그룹은 1부터 시작한다)						
// 오벨리스크그룹번호	맵 번호	X	Y			
4						
1	92	89	41			
2	92	188	101			
3	96	162	54			
end						
						
// 몬스터 리젠(Regen) 설정. 재등장하는 시간						
//groupNum 	MapIndex	monsterCount	GroupRegen_TimeType(분단위) 재등장시간	 		
5						
0	92	1	1			
1	92	1	1			
2	96	1	1			
end						
						
//몬스터설정 등장 위치 설정. (범위 설정. 해당 위치 안에서 랜덤 등장. GroupRegen_Spot)						
//groupNum 	beginX	beginY	endX	endY		
6						
0	86	40	87	41		
0	90	41	91	42		
1	186	99	187	100		
1	188	100	189	101		
2	160	55	161	56		
2	163	58	164	59		
end						
						
// 몬스터의 종류(GroupRegen_Member )						
// groupNum	monsterIndex	몬스터출현순서	속성			
7						
// 알크마르						
0	632	1	2	// "운디네"	물	
0	633	1	1	// "살라만더"	불	
0	634	1	4	// "실피드"	바람	
0	635	1	3	// "노옴"	땅	
0	636	1	5	// "힐라사"	암흑	
// 우바이드						
1	632	1	2	// "운디네"	물	
1	633	1	1	// "살라만더"	불	
1	634	1	4	// "실피드"	바람	
1	635	1	3	// "노옴"	땅	
1	636	1	5	// "힐라사"	암흑
// 데벤테르						
2	632	1	2	// "운디네"	물	
2	633	1	1	// "살라만더"	불	
2	634	1	4	// "실피드"	바람	
2	635	1	3	// "노옴"	땅	
2	636	1	5	// "힐라사"	암흑	
end						
						
// 오벨리스크 보상 드랍 개수						
// 아이템 개수	확률					
8						
1	999000					
2	997					
3	2					
4	1					
end						
END						
