// ----------------------------------------------------------------------------------
// Description:	Bad santa attack configuration
// ----------------------------------------------------------------------------------

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
//	Opening	Playing	MonsterToDest
// ----------------------------------------------------------------------------------
	3	10	5
end

//=====================================
// Monster move
//=====================================
1
// ----------------------------------------------------------------------------------
//	Random	RadMin	RadMax
// ----------------------------------------------------------------------------------
	15	3	6
end

// ----------------------------------------------------------------------------------
//	Monster	Regen	AgroMode
// ----------------------------------------------------------------------------------
2
652	0	1
end

//=====================================
// Event timer (24 format)
//=====================================
3
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
13	50
14	10
19	30
20	25
20	30
20	35
20	40
20      50
20      59
21      00
21      15
end

//=====================================
// Monster map info
//=====================================
4
// ----------------------------------------------------------------------------------
// 	Map	MinX	MinY	MaxX	MaxY
// ----------------------------------------------------------------------------------
	2	209	194	210	197	//-> devias3
end
