// ----------------------------------------------------------------------------------
// Description:	Blood Castle configuration
// ----------------------------------------------------------------------------------

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
// 	OpeningTime	EventTime	ClosingTime
// ----------------------------------------------------------------------------------
	5		15		1
end

//=====================================
// Items
//=====================================
1
// ----------------------------------------------------------------------------------
// 	ItemRate	ExcRate		DisappearTime
// ----------------------------------------------------------------------------------
	100		1200		1
end


//=====================================
// Elements
//=====================================
2
// ----------------------------------------------------------------------------------
// 	Level	GateHP	StatueHP
// ----------------------------------------------------------------------------------
	0	65000	150000
	1	105000	205000
	2	145000	260000
	3	185000	325000
	4	225000	400000
	5	265000	480000
	6	305000	565000
	7	345000	650000
end

//=====================================
// Experience reward
//=====================================
3
// ----------------------------------------------------------------------------------
// 	Level	ExpX
// ----------------------------------------------------------------------------------
	0	10.0
	1	10.0
	2	10.0
	3	10.0
	4	10.0
	5	10.0
	6	10.0
	7	10.0
end

//=====================================
// Event timer (24 format)
//=====================================
4
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
	16	00
	16	30
	17	00
	17	30
	18	00
	18	30
	19	00
end
