// ----------------------------------------------------------------------------------
// Description:	Bad santa attack configuration
// ----------------------------------------------------------------------------------

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
//	Opening	Playing	MonsterToDest
// ----------------------------------------------------------------------------------
	3	10	5
end

//=====================================
// Monster move
//=====================================
1
// ----------------------------------------------------------------------------------
//	Random	RadMin	RadMax
// ----------------------------------------------------------------------------------
	15	3	6
end

//=====================================
// Monster data
//=====================================
2
// ----------------------------------------------------------------------------------
//	Monster	Regen	AgroMode
// ----------------------------------------------------------------------------------
476	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
466	0	1
650	4	1
502	4	1
501	4	1
end

//=====================================
// Event timer (24 format)
//=====================================
3
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
00	25
01	25
02	25
03	25
04	25
05	25
06	25
15	25
16	25
17	25
18	25
19	25
19      40
20	25
21	25
22	25
23	25
end

//=====================================
// Monster map info
//=====================================
4
// ----------------------------------------------------------------------------------
// 	Map	MinX	MinY	MaxX	MaxY
// ----------------------------------------------------------------------------------
	0	185	115	190	122	//-> Lorencia
	2	111	14	232	125	//-> Devias
	3	136	53	223	181	//-> Noria
end
